Date,Arbitrum ($),zkSync Era ($),Base ($),Blast ($),OP Mainnet ($)
2022-06-29,363701.15,,,,4109.52
2022-06-30,30999.77,,,,-45744.59
2022-07-01,16204.48,,,,2973.54
2022-07-02,8969.39,,,,1097.48
2022-07-03,3212.19,,,,1267.82
2022-07-04,3274.76,,,,2128.33
2022-07-05,1657.41,,,,2556.44
2022-07-06,3168.41,,,,2708.63
2022-07-07,1878.58,,,,3051.22
2022-07-08,11791.41,,,,-6967721.80
2022-07-09,5623.33,,,,1001.42
2022-07-10,1739.25,,,,1016.57
2022-07-11,1516.64,,,,1725.27
2022-07-12,5432.67,,,,1332.38
2022-07-13,6328.44,,,,3097.21
2022-07-14,3369.55,,,,-1914601.26
2022-07-15,6773.19,,,,-428703.63
2022-07-16,617.04,,,,4675.16
2022-07-17,1361.73,,,,2405.36
2022-07-18,-3377.48,,,,7796.24
2022-07-19,4233.08,,,,-1362195.23
2022-07-20,3621.92,,,,-2361254.09
2022-07-21,11605.88,,,,4375.96
2022-07-22,5219.98,,,,3485.69
2022-07-23,2711.65,,,,2533.95
2022-07-24,3625.35,,,,1955.92
2022-07-25,-1371.92,,,,-12287.97
2022-07-26,5645.63,,,,-241956.60
2022-07-27,-2504.64,,,,-9458798.54
2022-07-28,-344.02,,,,16578.35
2022-07-29,6841.24,,,,9874.98
2022-07-30,4559.19,,,,2615.75
2022-07-31,1364.92,,,,2127.84
2022-08-01,-312.18,,,,3723.63
2022-08-02,2489.91,,,,5335.79
2022-08-03,2395.38,,,,-2581406.87
2022-08-04,2093.82,,,,-1929177.86
2022-08-05,289.58,,,,-63468.89
2022-08-06,3853.07,,,,-52615.07
2022-08-07,577.09,,,,-64136.30
2022-08-08,-2269.78,,,,-102257.09
2022-08-09,3432.13,,,,-1553403.02
2022-08-10,17717.83,,,,-92065.89
2022-08-11,10439.61,,,,-22119.59
2022-08-12,10421.61,,,,-65007.21
2022-08-13,9882.35,,,,-40630.09
2022-08-14,1842.99,,,,-87696.51
2022-08-15,3147.34,,,,-879135.26
2022-08-16,12652.12,,,,-23796.30
2022-08-17,5192.41,,,,-47443.80
2022-08-18,7967.53,,,,-96974.74
2022-08-19,92.99,,,,-44043.85
2022-08-20,3915.57,,,,-31581.26
2022-08-21,5031.51,,,,-36873.20
2022-08-22,-1124.05,,,,-47988.32
2022-08-23,3109.00,,,,-96784.58
2022-08-24,2501.28,,,,-58687.77
2022-08-25,1390.22,,,,-67213.59
2022-08-26,11395.52,,,,-1363870.22
2022-08-27,12717.80,,,,-818731.47
2022-08-28,489.36,,,,-25319.82
2022-08-29,4552.93,,,,-85909.10
2022-08-30,-613.94,,,,-78471.56
2022-08-31,5516.05,,,,-16046.50
2022-09-01,4410.67,,,,-21775.52
2022-09-02,5614.40,,,,-1009764.75
2022-09-03,3269.41,,,,-22539.90
2022-09-04,4382.02,,,,-53209.61
2022-09-05,5507.68,,,,-47721.24
2022-09-06,8009.32,,,,-78909.25
2022-09-07,6422.03,,,,-1249346.94
2022-09-08,4537.65,,,,-51714.00
2022-09-09,6826.58,,,,-99108.53
2022-09-10,3191.74,,,,-63120.78
2022-09-11,5709.61,,,,-37973.37
2022-09-12,6645.04,,,,-1114300.23
2022-09-13,5426.52,,,,-449015.71
2022-09-14,4744.97,,,,-16101.12
2022-09-15,5877.66,,,,-62211.11
2022-09-16,3707.92,,,,-34268.11
2022-09-17,3575.38,,,,-21341.07
2022-09-18,5802.81,,,,-43576.42
2022-09-19,5524.55,,,,-393813.15
