Date,OP Mainnet ($),Arbitrum ($),zkSync Era ($),Base ($),Blast ($)
2023-01-09,1541220.27,24001.13,,,
2023-01-10,127880.66,21917.77,,,
2023-01-11,71017.13,25097.11,,,
2023-01-12,105293.37,27060.16,,,
2023-01-13,101158.00,28425.31,,,
2023-01-14,109991.46,38110.18,,,
2023-01-15,78954.74,23465.81,,,
2023-01-16,96334.20,26507.67,,,
2023-01-17,121802.65,26441.93,,,
2023-01-18,56910.07,37402.33,,,
2023-01-19,28431.50,21769.51,,,
2023-01-20,1931303.46,26993.34,,,
2023-01-21,34709.66,21341.77,,,
2023-01-22,26519.91,18076.63,,,
2023-01-23,33391.29,25445.80,,,
2023-01-24,42696.23,27735.94,,,
2023-01-25,43877.02,30074.03,,,
2023-01-26,37043.08,31317.84,,,
2023-01-27,35550.34,35203.32,,,
2023-01-28,43350.17,19948.96,,,
2023-01-29,28392.91,29211.82,,,
2023-01-30,35496.04,30941.68,,,
2023-01-31,35853.78,41005.47,,,
2023-02-01,55238.49,53721.01,,,
2023-02-02,109043.36,53321.91,,,
2023-02-03,47091.03,48177.71,,,
2023-02-04,31606.65,39553.61,,,
2023-02-05,29608.10,38219.22,,,
2023-02-06,37532.00,47070.67,,,
2023-02-07,53484.00,71522.06,,,
2023-02-08,59399.23,77554.28,,,
2023-02-09,28304373.15,76777.77,,,
2023-02-10,3716113.00,49726.74,,,
2023-02-11,30169.22,26817.63,,,
2023-02-12,26994.16,29589.25,,,
2023-02-13,45789.09,47435.00,,,
2023-02-14,65050.76,84633.14,0.00,,
2023-02-15,71170.54,92629.81,0.00,,
2023-02-16,13211602.59,109358.22,0.00,,
2023-02-17,68707.09,105435.10,0.00,,
2023-02-18,1205589.71,77756.12,0.00,,
2023-02-19,49695.83,76482.87,0.00,,
2023-02-20,53723.13,127498.31,0.00,,
2023-02-21,56550.07,142201.58,0.00,,
2023-02-22,79713.21,153501.72,0.00,,
2023-02-23,110037.18,142571.98,0.00,,
2023-02-24,117993.09,98260.43,0.00,,
2023-02-25,51889.29,55057.41,0.00,,
2023-02-26,49957.29,50974.72,0.00,,
2023-02-27,64349.87,79901.90,0.00,,
2023-02-28,43183.78,70062.84,0.00,,
2023-03-01,58182.15,90301.21,0.00,,
2023-03-02,50822.22,76039.34,0.00,,
2023-03-03,7086395.83,82139.23,0.00,,
2023-03-04,34159.16,49161.40,0.00,,
2023-03-05,34569.35,46133.99,0.00,,
2023-03-06,46947.56,74463.98,0.00,,
2023-03-07,55316.35,79480.34,0.00,,
2023-03-08,1064813.76,78601.89,0.00,,
2023-03-09,79157.08,96794.12,0.00,,
2023-03-10,278313.15,82863.02,0.00,,
2023-03-11,196947.36,241501.22,0.00,,
2023-03-12,50944.08,52389.39,0.00,,
2023-03-13,323066.09,93446.17,0.00,,
2023-03-14,674326.08,108462.73,0.00,,
2023-03-15,73738.76,90536.91,0.00,,
2023-03-16,56364.48,116919.25,0.00,,
2023-03-17,192343.42,109730.43,0.00,,
2023-03-18,697822.82,78804.64,0.00,,
2023-03-19,40048.43,77256.76,0.00,,
2023-03-20,74576.28,97455.59,0.00,,
2023-03-21,45787.47,116298.55,0.00,,
2023-03-22,1205858.89,115088.10,0.00,,
2023-03-23,101401.42,313833.86,2.16,,
2023-03-24,2315761.40,194839.85,17507.20,,
2023-03-25,33942.89,87553.44,48608.07,,
2023-03-26,36761.79,85705.96,95736.28,,
2023-03-27,67374.20,156616.47,92279.54,,
2023-03-28,71445.59,135324.28,74955.93,,
2023-03-29,381330.44,146090.58,89997.88,,
2023-03-30,116955.26,215888.49,93938.80,,
2023-03-31,74464.32,132598.50,97222.11,,
2023-04-01,48020.51,91707.05,73421.23,,
2023-04-02,48317.76,95820.40,85501.82,,
2023-04-03,77057.58,164742.14,95283.86,,
2023-04-04,89593.07,149501.11,89783.09,,
2023-04-05,631093.87,207940.04,92316.68,,
2023-04-06,354746.59,174378.60,94521.37,,
2023-04-07,307952.61,116751.44,80968.63,,
2023-04-08,77984.87,103864.59,76617.12,,
2023-04-09,85313.46,114720.06,93063.74,,
2023-04-10,97112.87,134820.39,97570.28,,
2023-04-11,102737.94,146626.50,104367.88,,
2023-04-12,22943161.66,131136.90,99892.68,,
2023-04-13,980302.83,185053.88,91458.67,,
2023-04-14,132562.74,222201.54,79492.66,,
2023-04-15,102960.23,182732.62,67812.09,,
2023-04-16,110237.47,164592.76,66011.23,,
2023-04-17,127747.21,334301.78,71099.75,,
2023-04-18,2191813.06,362436.46,80964.11,,
2023-04-19,491153.26,567016.50,81679.11,,
2023-04-20,189275.13,513826.77,54652.83,,
2023-04-21,124171.34,219577.70,53812.76,,
2023-04-22,104624.85,262795.26,59858.12,,
2023-04-23,120219.09,254212.53,67225.95,,
2023-04-24,118336.92,309598.01,70746.67,,
2023-04-25,332228.03,233370.43,85817.01,,
2023-04-26,1214635.24,255630.46,88767.20,,
2023-04-27,111975.41,230999.27,100788.68,,
2023-04-28,117035.76,175763.99,102056.68,,
2023-04-29,93148.40,166292.06,96110.00,,
2023-04-30,108193.58,265314.91,83164.84,,
2023-05-01,127250.53,325151.00,152819.95,,
2023-05-02,151533.03,427962.05,61218.40,,
2023-05-03,252443.04,387646.69,65749.73,,
2023-05-04,168582.99,338250.83,114776.36,,
2023-05-05,243969.73,706418.51,82049.22,,
2023-05-06,204742.17,715969.26,57713.26,,
2023-05-07,156285.48,429387.33,52460.61,,
2023-05-08,191328.37,483893.16,90935.89,,
2023-05-09,152828.43,496028.42,92393.04,,
2023-05-10,193337.55,468874.59,257385.81,,
2023-05-11,205956.51,547943.19,200599.08,,
