Date,Liquity ($),Abracadabra.money ($),Reflexer ($),Angle ($),Origin DeFi ($),Vesta Finance ($),MakerDAO ($)
5/22/2022,6310.3,233354.43,2338.11,0,,27,0
5/23/2022,47151.07,66.35,4254.46,0,,28.91,0
5/24/2022,29787.27,17768,10755.8,0,,453.46,0
5/25/2022,131734.94,8743.43,1757.57,0,,469.96,0
5/26/2022,31870.62,5163.54,6353.37,249653.2,,7.14,0
5/27/2022,67635.39,3655.19,38.8,0,,220.17,0
5/28/2022,7422.33,5857.82,10222.02,0,,90.75,0
5/29/2022,3541.48,4910.45,179.53,0,,306.08,0
5/30/2022,16011.12,3401.69,2580.94,0,,112.47,0
5/31/2022,15631.03,2878.92,28798.81,0,,323.63,0
6/1/2022,2207.28,2205.71,0,0,,302.41,0
6/2/2022,10333.45,2395.05,231.23,227219.02,,3.93,0
6/3/2022,752.42,10306.67,0,0,,207.07,0
6/4/2022,12980.24,16628.87,6263.82,0,,8.75,0
6/5/2022,1397.99,3026.38,0,0,,0.01,0
6/6/2022,195476.84,3763.46,0,0,,78.15,0
6/7/2022,44815.35,23116.21,1742.96,0,,13.34,0
6/8/2022,16200.37,4659.22,0,0,,17.63,0
6/9/2022,2427.23,6171.07,2227.49,199634.21,,45.85,0
6/10/2022,33022.81,4546.36,2399.22,0,,11.21,0
6/11/2022,158677.81,4548.68,1637.21,0,,1539.31,0
6/12/2022,125159.69,2670.93,10584.34,0,,3711.57,0
6/13/2022,112366.34,2142.11,1688.85,0,,692.44,0
6/14/2022,104026.47,1569.58,1714.5,0,,118.82,0
6/15/2022,15817.79,3992.4,4130.86,0,,108.37,0
6/16/2022,8592,9094.33,1499.82,165264.74,,59.13,0
6/17/2022,5166.33,2860.73,931.13,0,,9.54,0
6/18/2022,36169.99,10147.66,637.96,0,,10.35,0
6/19/2022,25564.46,6163.54,3435.2,0,,150.21,0
6/20/2022,8520.61,1834.8,73620.98,0,,94.59,0
6/21/2022,22380.4,5834.71,33437.93,0,,363.27,0
6/22/2022,11195.54,2431.02,1903.59,0,,9.46,0
6/23/2022,77326.03,2621.8,1666.87,148513.36,,24.13,0
6/24/2022,13455.93,2628.61,7065.33,0,,46.47,0
6/25/2022,6187.07,9049.2,0,0,,104.29,0
6/26/2022,17362.35,5338.48,616.37,0,,0,0
6/27/2022,30491.83,2745.76,7981.45,0,,11.09,0
6/28/2022,19695.44,3208.42,630.91,0,,0,0
6/29/2022,13478.07,7657.72,4772.92,0,,15,0
6/30/2022,52258.73,2270.61,0,102682,,45.66,0
7/1/2022,12663.67,3383.31,717.45,0,,2588.05,0
7/2/2022,15060.06,2244.58,1126.57,0,,56,0
7/3/2022,17562.98,913.81,174.27,0,,55.62,0
7/4/2022,17194.76,19621.55,133.76,0,,4.58,0
7/5/2022,21065.37,3218.66,5621.5,0,,42.63,0
7/6/2022,19973.68,7806.99,0,0,,116.65,0
7/7/2022,16570.27,2821.01,193.31,71676.72,,102.5,0
7/8/2022,14655.17,6802.18,317.77,0,,587.94,0
7/9/2022,14679.84,5342.85,4661.37,0,,19.44,0
7/10/2022,6064.83,4209.4,577.24,0,,3.76,0
7/11/2022,11511.12,5734.22,290.4,0,,23.12,0
7/12/2022,13159.69,2726.06,93.12,0,85.28,12.96,0
7/13/2022,33598.9,7442.2,1680.14,0,5.51,564.78,0
7/14/2022,8736.9,6369.49,3623.74,74221.04,20.08,2510.06,0
7/15/2022,25238.13,4203.31,0.05,0,61.76,33.02,0
7/16/2022,8511.18,7605.78,2563.66,0,20.57,112.64,0
7/17/2022,11634.26,5604.49,2616.87,0,18.7,712.61,0
7/18/2022,17715.8,9246.81,837.38,0,2.41,1931.63,0
7/19/2022,22123.64,12397.81,0,0,22.26,1228.27,0
7/20/2022,7086.83,5166.02,347.97,0,16.54,41.23,0
7/21/2022,15063.35,6946.09,2335.51,80740.18,14.94,77.35,0
7/22/2022,28592.87,10069.98,88220.87,0,2.5,35.91,0
7/23/2022,72747.27,7320.91,18301.33,0,543.78,49,0
7/24/2022,32405.16,5902.56,21683.79,0,769.59,146.9,0
7/25/2022,15993.74,6858.48,236.12,0,163.49,89.57,0
7/26/2022,11473.34,4065.47,7009.95,0,106.33,10.16,0
7/27/2022,13445.56,9929.82,12129.5,0,387.82,299.57,0
7/28/2022,15457.72,6857.61,1263.96,82486.75,333.4,1349.9,0
7/29/2022,6579.76,7517.41,1388.85,0,124.62,170.3,0
7/30/2022,8927.57,7731.03,938.32,0,168.74,1280.98,0
7/31/2022,12738.46,6089.49,2054.23,0,1467.7,572.74,0
8/1/2022,40174.52,12606.47,30.25,0,349.41,386.84,0
8/2/2022,11481.23,4097.22,414.18,0,612.46,333,0
8/3/2022,7677.11,4931.98,0,0,274.39,196.32,0
8/4/2022,5360.74,8121.74,153.79,80045.89,68.39,674.03,0
8/5/2022,23073.29,7479.99,0,0,211.1,112.56,0
8/6/2022,7440.42,4985.95,1924.4,0,747.54,550.57,0
8/7/2022,9955.28,864.21,0,0,208.72,167.32,0
8/8/2022,71495.41,4663.75,13600.72,0,345.41,515.04,0
8/9/2022,82342.53,779.85,3352.71,0,166.78,563.72,0
8/10/2022,9613,5712.81,844.12,0,483.04,775.13,0
8/11/2022,30974.95,37279.22,497.81,81709.94,811.5,2125.89,0
8/12/2022,9077.85,11831.17,3590.18,0,938.51,1009.46,0
8/13/2022,47292.08,13255.41,12412.76,0,145.23,6017.74,0
8/14/2022,23916.11,8534.42,4808.46,0,128.92,771.66,0
8/15/2022,35453.97,12977.14,16399.6,0,29501.9,112.72,0
8/16/2022,72130.68,14782.19,3516.2,0,324.45,1529.71,0
8/17/2022,33124.3,10959.37,2118.66,0,735.08,393.58,0
8/18/2022,20040.23,9030.81,2952.02,97426.08,106.94,311.82,0
8/19/2022,8908.68,18054.19,4401.97,0,563.86,384.47,0
8/20/2022,30149.88,10798.31,40.85,0,4119.97,256.07,0
8/21/2022,12189.13,12534.4,645.53,0,418,309.03,0
8/22/2022,31297.05,10759.8,0,0,453.78,24.33,0
8/23/2022,11920.01,10964.38,1385.89,0,1.87,273.97,0
8/24/2022,9481.98,10858.62,44809.94,0,157.28,247.2,0
8/25/2022,4808.6,10537.29,54397.88,97191.91,1940.55,129.91,0
8/26/2022,6229.27,9377.8,4319.43,0,299.94,313.93,0
8/27/2022,71558.61,10128.41,1371.61,0,46796.64,249.84,0
8/28/2022,6794.26,8718.03,0,0,103.38,360.46,0
8/29/2022,19382.22,8834.57,1557.55,0,678.91,277.66,0
8/30/2022,12090.25,9619.59,683.18,0,4938.38,775.79,0
8/31/2022,11835.31,8088.24,9577.34,0,1237801.05,1813.37,0
