Date,MakerDAO ($),Ethena ($),Abracadabra.money ($),Vesta Finance ($),Origin DeFi ($),Reflexer ($),Liquity ($)
5/3/2022,-127691.25,,45268.98,-658.29,512.54,-3793,-23621.16
5/4/2022,-1295719.03,,70710.93,506.9,760.76,-1540.66,25093.27
5/5/2022,147663.38,,47949.24,-1125.12,741.04,-1814.48,-40479.75
5/6/2022,185310.32,,33605.72,-5206.18,709.51,1932.77,-6291.14
5/7/2022,249447.71,,47809.78,-235.38,676.71,249.54,-97559.18
5/8/2022,234729.7,,77269.08,1687.83,654.13,-18879.69,-37867.34
5/9/2022,-78417.55,,113207.9,2255.09,616.26,1058.49,-373354.09
5/10/2022,-75772.77,,50423.12,-232.16,1556.38,2590.92,-84019.41
5/11/2022,1375125.14,,21202.13,9684.76,8379.24,2377.89,21093.11
5/12/2022,2066914.56,,26140.05,6376.87,5875.48,1156.2,-154455.75
5/13/2022,-205375.26,,16824.62,-1364.45,497.29,-927.59,-8823.51
5/14/2022,124766.74,,20234.92,-61.74,443.88,-10179.55,-199103.19
5/15/2022,158305.05,,13394.41,196.22,805.95,-7605.63,-20643.74
5/16/2022,38033.88,,19907.21,19.05,515.31,-16126.89,10004.61
5/17/2022,137960.16,,-5855.66,132.97,493.84,1004.7,-12475.32
5/18/2022,130046.39,,13585.86,-66.88,398.29,-148342.22,-4287.19
5/19/2022,-299706.52,,18375.96,203.55,372.45,-82810.58,-21116.33
5/20/2022,148740.25,,19894,-2747.94,350.66,-398.95,-4065.91
5/21/2022,95054.21,,794.75,17.04,352.88,622.74,-6152.34
5/22/2022,103831.76,,-213646.78,147.64,330.57,-419.1,-6131.39
5/23/2022,-607433.15,,10054.38,279.31,302.72,-2333.64,-47032.18
5/24/2022,49451.07,,4601.3,-441.75,283.02,-8880.01,-18058.41
5/25/2022,69984.34,,-5402,182.41,284.17,96.23,-128106.37
5/26/2022,135692.7,,18210.74,317.31,262.36,-4558.71,-30689.35
5/27/2022,-224687.87,,3579.16,-60.61,260.01,1780.97,-66828.53
5/28/2022,85586.99,,13046.49,187.07,226.44,-8346.06,-6053.63
5/29/2022,-633623.91,,8855.71,-6.85,401.75,1698.51,-1937.31
5/30/2022,91691.72,,17719.27,-75.09,377.45,-692.26,-8376.3
5/31/2022,-216420.97,,3670.95,-300.16,367.35,-26862.29,-7036.47
6/1/2022,32295.94,,18305.62,-250.15,346.18,1940.09,14249.78
6/2/2022,19907.29,,-2013.84,0.92,357.83,1689.67,-10207.82
6/3/2022,116506.4,,14612.53,-197.29,347.23,1869.87,3562.01
6/4/2022,83974.97,,-16321.29,37.3,331.5,-4399.78,-12098.63
6/5/2022,100928.22,,21063.7,42.36,462.53,1866.47,10354.01
6/6/2022,88381.64,,-628.07,17.95,166.3,1898.24,-177898.83
6/7/2022,82955.78,,4194.66,2574.88,316.24,145.95,-18620.01
6/8/2022,99475.64,,1484.09,221.26,309.02,1869.78,-13549.92
6/9/2022,67889.48,,11875.6,-1.29,302.59,-358.67,-1300.67
6/10/2022,-187690.92,,2477.81,108.25,257.6,-589.88,-31567.9
6/11/2022,779709.19,,17994.05,-1300.9,250.65,106.84,-154032.58
6/12/2022,267618.56,,4882.06,-2858.14,240.98,-8916.91,-123814.13
6/13/2022,4685850.61,,15682.33,-319.73,1317.96,-147.19,-89326.91
6/14/2022,415897.56,,3651.06,613.03,155.38,-327.09,3148.48
6/15/2022,239653.84,,14526.98,2007.63,189.12,-2931.72,37829.82
6/16/2022,-156639.98,,729.92,64.62,189.68,-429.9,21245.05
6/17/2022,68010.28,,8396.61,-9.54,539.21,101.02,10293.03
6/18/2022,782282.2,,-980.94,3647.71,1624.61,402.14,54224.13
6/19/2022,69485.5,,7845.82,378.35,127.68,-2418.71,674.9
6/20/2022,45235.01,,5873.23,28.38,254.6,-72607.42,-4433.33
6/21/2022,22850.69,,9418.41,-259.11,240.21,-32454.23,-3911.41
6/22/2022,-16940.86,,17201.56,955.49,221.61,-903.53,-842.05
6/23/2022,-560554.26,,11864.01,20.08,208.4,-665.96,-56572.43
6/24/2022,-58165.74,,633.04,-45.01,201.12,-6097.43,-9847.2
6/25/2022,34403.16,,10719.04,-87.53,416.4,970.33,-3547.93
6/26/2022,54272.93,,-1916.34,34.56,91.34,372.53,-14079.83
6/27/2022,10929.48,,12132.83,669.63,258.2,-6977.82,-26695.05
6/28/2022,-223421.14,,-1161.59,160.52,243.76,383.97,-19200.24
6/29/2022,114278.03,,11697.78,-10.06,230.36,-3844.71,-7613.64
6/30/2022,-130916.72,,1535.84,-20.91,220.36,890.01,-48678.88
7/1/2022,-1748755.32,,9920.17,-1903.75,274.02,184.12,-9489.81
7/2/2022,-196820.1,,-274.41,287.6,313.2,-197.92,-11095.41
7/3/2022,56346.27,,14612.58,-54.12,189.97,766.62,22222.07
7/4/2022,-112983.32,,-15323.26,140.65,222.84,797.95,-8430.19
7/5/2022,56316.8,,11486.71,333.76,203.86,-4685.59,-15337.2
7/6/2022,-1102584,,-3841.32,-59.41,206.08,930.98,-15025.1
7/7/2022,28045.41,,11967.8,521.9,199.48,748.37,-11014.73
7/8/2022,-848984.25,,13800.09,-248.1,213.43,604.98,-14239.54
7/9/2022,18120.68,,10680.61,35.15,199.84,-3756.99,-14102.92
7/10/2022,7267.19,,-951.46,0.9,217.37,321.48,-4804.27
7/11/2022,-150929.88,,11259.89,-20.62,223.59,607.31,-4296.44
7/12/2022,35101.4,,-78.46,937.69,121.17,783.09,-12274.9
7/13/2022,47617.36,,9414.16,-439.22,204.34,-825.5,-31084.36
7/14/2022,33304.18,,114.93,-1929.12,168.01,-2757.67,-7788.71
7/15/2022,41188.71,,10841.8,45.58,108.7,863.74,-17428.34
7/16/2022,702628.06,,6806.66,731.38,303.53,-1706.8,-4973.5
7/17/2022,20227.9,,10534.33,-611.46,119.77,-1740.98,4462.54
7/18/2022,48711.07,,-3105.49,-610.11,221.65,49.67,-7831.92
7/19/2022,36190.83,,63035.61,640.65,163.21,884.66,-15206.51
7/20/2022,5148.19,,-429.41,1558,192.21,534.79,-6376.54
7/21/2022,29116.88,,11904.96,374.88,3444.94,-1452.8,12774.09
7/22/2022,42273.95,,-2245.25,890.92,157.44,-87330.48,-25204.42
7/23/2022,26731.56,,17135.02,1023.92,-43.91,-17411.6,-72697.85
7/24/2022,44023.98,,330.01,2282.37,-632.09,-20812.46,-25425.09
7/25/2022,-2879229.41,,8049.64,287.17,19.11,633.46,-13139.34
7/26/2022,-195076.55,,3975.89,1.87,236.48,-6160.48,-10924.01
7/27/2022,2034097.35,,3894.31,-23.88,-41.41,-11283.6,-7481.28
7/28/2022,-44543.51,,-96.25,298.13,-205.82,-428.92,-7144.86
7/29/2022,-924877.11,,9269.93,1194.78,114.28,-553.39,895.65
7/30/2022,-466441.9,,-3855.28,89.23,-5.7,-92.97,-8267.68
7/31/2022,19689.55,,10084.73,-160.79,-1295.34,-1205.95,-11396.54
8/1/2022,-196140.12,,-8275.03,1864.94,497.36,820.88,-38566.55
8/2/2022,37447.4,,11004.83,845.6,-480.18,432.51,-8776.55
8/3/2022,29279.26,,-1255.27,205.68,-116.73,848.7,-4779.3
8/4/2022,86207.94,,7938.24,-595.21,210.71,691.03,-4546.1
8/5/2022,-102571.55,,-3765.33,2667.46,-70.47,846.13,-9837.04
8/6/2022,44971.47,,10862.63,-313.99,-590.41,-1081.42,-5075.21
8/7/2022,35840.9,,9872.95,6997.63,-49.47,845.61,-8607.6
8/8/2022,3365.53,,10712.74,-407.45,-184.9,-12754.07,-62953.21
8/9/2022,-65759.04,,1309.86,-462.21,-5.03,-2488.35,-66835.22
8/10/2022,51946.81,,14243.72,1922.44,-274.25,37.3,9069.85
8/11/2022,41729.4,,-34184.23,-484.84,-633.84,419.55,961.93
8/12/2022,51389.03,,5003.42,113.5,-682.95,-2670.96,10354.59
8/13/2022,39946.7,,-3346.86,-5033.71,-7.12,-11486.13,-36758.26
8/14/2022,-77182.56,,5431.43,-262.14,216.83,-3867.3,-7900.48
8/15/2022,-16005.3,,-3243.07,90.01,-29331.8,-15471.83,-20600.76
8/16/2022,-652588.05,,657.92,255.71,-60.69,-2569.82,-68958.03
8/17/2022,54632.8,,-6174.4,263.71,-564.57,-1165.84,-32147.18
8/18/2022,86530.29,,7858.51,665.89,61.71,-1985.25,-16773.24
8/19/2022,92360.87,,-13812.42,-334,-396.42,-3433.09,1292.64
8/20/2022,40942.95,,4479.85,206.44,-3962.83,928.19,-24287.52
8/21/2022,48893.44,,-4862.52,1422.81,-269.73,321.13,-2530.8
8/22/2022,43911.2,,9568.59,623.4,-289.64,969.73,-26265.87
8/23/2022,57923.17,,-8618.86,1678.14,151.19,-416.11,-8599.97
8/24/2022,-206748.97,,12323.82,-44.82,-12.7,-43842.26,-5648.06
8/25/2022,-41173.37,,-5604.65,6963.45,-1779.31,-53429,7980.03
