Date,,,,,,,,,,,MakerDAO ($),Abracadabra.money ($),Liquity ($),Ethena ($),Origin DeFi ($),Reflexer ($),Vesta Finance ($),Angle ($)
7/31/2022,41970.71,16174.22,1341.92,,1723.58,848.28,411.95,8.25,,,,,,,,,,
8/1/2022,37865.55,4331.44,1607.97,,14875.42,851.13,2251.78,15.13,,,,,,,,,,
8/2/2022,54577.61,15102.05,2704.69,,1322.82,846.69,1178.6,30.87,,,,,,,,,,
8/3/2022,29280.24,3676.71,2897.82,,1576.52,848.7,402,24.82,,,,,,,,,,
8/4/2022,112913.76,16059.98,814.65,,3778.13,844.81,78.83,6.16,,,,,,,,,,
8/5/2022,49227.09,3714.66,13236.25,,1406.31,846.13,2780.03,21.54,,,,,,,,,,
8/6/2022,44972.51,15848.58,2365.21,,1571.33,842.97,236.58,19.78,,,,,,,,,,
8/7/2022,35840.9,10737.16,1347.67,,1592.53,845.61,7164.94,0.94,,,,,,,,,,
8/8/2022,47720.51,15376.5,8542.2,,1605.05,846.64,107.6,9.9,,,,,,,,,,
8/9/2022,52892.45,2089.71,15507.31,,1617.52,864.36,101.51,20.9,,,,,,,,,,
8/10/2022,51946.81,19956.53,18682.84,,2291.55,881.42,2697.57,0,,,,,,,,,,
8/11/2022,41729.4,3094.99,31936.88,,2212.69,917.36,1641.05,45.5,,,,,,,,,,
8/12/2022,51389.03,16834.59,19432.44,,3198.57,919.22,1122.96,0,,,,,,,,,,
8/13/2022,43955.31,9908.55,10533.82,,1381.01,926.62,984.03,0,,,,,,,,,,
8/14/2022,44596.2,13965.85,16015.63,,4908.35,941.16,509.52,21.6,,,,,,,,,,
8/15/2022,48035.49,9734.07,14853.21,,1700.91,927.77,202.72,0.05,,,,,,,,,,
8/16/2022,27813.99,15440.11,3172.64,,4048.23,946.38,1785.42,0.83,,,,,,,,,,
8/17/2022,54634.08,4784.98,977.12,,1705.09,952.82,657.3,0.02,,,,,,,,,,
8/18/2022,91407.19,16889.32,3266.99,,1686.47,966.77,977.71,0,,,,,,,,,,
