Date,Livepeer (#),Chainlink (#),Worldcoin (#),The Graph (#),Ethereum Name Service (#),Gitcoin (#),Render Network (#),UMA (#),Aragon (#),Kleros (#),Tornado Cash (#),Bounce Finance (#),Arkham (#),Instadapp (#)
2021-05-16,2545716.00,529847.00,,57879.00,,1.00,4045.00,13882.00,8923.00,8877.00,6147.00,2126.00,,1.00
2021-05-17,2545666.00,528114.00,,57998.00,,1.00,4036.00,13895.00,8946.00,8865.00,6164.00,2117.00,,1.00
2021-05-18,2545601.00,527515.00,,58110.00,,1.00,4078.00,13911.00,9000.00,8869.00,6163.00,2124.00,,1.00
2021-05-19,2545605.00,529030.00,,58241.00,,1.00,4085.00,13951.00,9031.00,8856.00,6182.00,2118.00,,1.00
2021-05-20,2545601.00,529825.00,,58369.00,,3.00,4087.00,13966.00,9060.00,8864.00,6181.00,2117.00,,1.00
2021-05-21,2545554.00,530689.00,,58721.00,,34.00,4093.00,13990.00,9075.00,8862.00,6279.00,2103.00,,1.00
2021-05-22,2545303.00,530796.00,,59053.00,,34.00,4107.00,14012.00,9012.00,8854.00,6348.00,2102.00,,1.00
2021-05-23,2545280.00,531272.00,,59181.00,,34.00,4130.00,13987.00,9021.00,8842.00,6351.00,2090.00,,1.00
2021-05-24,2545258.00,532540.00,,59411.00,,40.00,4146.00,14007.00,9034.00,8853.00,6351.00,2093.00,,1.00
2021-05-25,2545181.00,533254.00,,59576.00,,4166.00,4154.00,14000.00,9036.00,8859.00,6369.00,2089.00,,1.00
2021-05-26,2545020.00,533800.00,,59790.00,,10012.00,4174.00,14019.00,8999.00,8864.00,6383.00,2088.00,,1.00
2021-05-27,2544844.00,534696.00,,59919.00,,11011.00,4183.00,14010.00,9007.00,8866.00,6391.00,2080.00,,1.00
2021-05-28,2544882.00,535458.00,,60065.00,,11518.00,4190.00,14022.00,9016.00,8869.00,6388.00,2078.00,,1.00
2021-05-29,2544702.00,535753.00,,60224.00,,12255.00,4156.00,14014.00,9027.00,8871.00,6389.00,2081.00,,1.00
2021-05-30,2544572.00,535839.00,,60362.00,,13090.00,4160.00,14035.00,9037.00,8871.00,6393.00,2083.00,,1.00
2021-05-31,2544466.00,536737.00,,60530.00,,13796.00,4170.00,14063.00,9055.00,8879.00,6409.00,2088.00,,1.00
2021-06-01,2544338.00,537381.00,,60647.00,,14103.00,4187.00,14088.00,9069.00,8890.00,6446.00,2091.00,,1.00
