Date,Lido Finance ($),Frax Ether ($),StakeWise ($),StakeStone ($),Stader ($)
2022-08-24,749684.72,,10896.16,,5836.44
2022-08-25,768891.74,,10934.85,,5957.77
2022-08-26,673735.09,,9827.96,,10696.36
2022-08-27,680028.47,,10218.93,,5562.56
2022-08-28,650250.25,,10446.40,,5603.49
2022-08-29,705721.06,,10716.06,,5669.29
2022-08-30,692615.84,,12187.07,,11924.36
2022-08-31,702721.90,,10856.81,,5758.54
2022-09-01,719261.64,,11347.91,,5830.27
2022-09-02,714108.08,,10993.77,,10829.18
2022-09-03,705368.29,,11054.23,,5859.83
2022-09-04,715362.45,,10734.16,,5791.86
2022-09-05,733840.69,,11286.23,,5692.32
2022-09-06,696920.73,,10747.97,,10924.10
2022-09-07,678840.36,,10512.94,,4676.51
2022-09-08,722674.02,,11187.79,,4898.26
2022-09-09,773108.76,,12213.73,,14086.23
2022-09-10,803293.49,,12664.53,,1510.67
2022-09-11,795391.07,,12647.31,,1606.61
2022-09-12,773022.77,,11992.06,,4826.92
2022-09-13,708631.31,,11563.72,,19614.87
2022-09-14,737391.98,,11389.62,,4628.16
2022-09-15,718609.66,,10232.43,,4534.84
2022-09-16,935780.29,,16871.76,,4620.38
2022-09-17,842138.24,,7088.61,,1468.74
2022-09-18,737604.21,,10177.57,,4828.93
2022-09-19,874184.53,,25309.94,,17615.61
2022-09-20,776684.29,,17480.32,,22511.09
2022-09-21,788873.51,,13509.52,,4606.73
2022-09-22,835997.52,,17953.32,,4706.59
2022-09-23,794721.36,,17003.85,,18687.67
2022-09-24,806077.13,,14285.55,,4741.45
2022-09-25,733543.54,,13473.03,,4625.46
2022-09-26,830705.55,,13629.57,,4558.49
2022-09-27,880881.34,,12762.21,,22376.99
2022-09-28,899123.36,,15338.60,,1400.18
2022-09-29,878061.68,,14125.53,,8506.07
2022-09-30,900686.93,,13354.79,,19584.79
2022-10-01,859732.91,,13104.19,,5128.61
2022-10-02,794011.68,,14644.83,,1606.49
2022-10-03,841122.11,,12136.40,,8566.00
2022-10-04,845006.94,,17518.94,,23189.65
2022-10-05,870895.63,,12803.02,,3657.39
2022-10-06,935998.50,0.00,11753.26,,3270.07
2022-10-07,824561.62,0.00,14142.75,,19485.69
2022-10-08,926309.32,0.00,14160.35,,0.00
2022-10-09,767293.13,0.00,11281.22,,0.00
2022-10-10,780646.27,0.00,14058.06,,0.00
2022-10-11,820248.88,0.00,11845.89,,20030.62
2022-10-12,772788.31,0.00,12765.12,,4064.38
2022-10-13,819274.70,1.29,10747.27,,8160.67
2022-10-14,982163.63,0.00,12229.71,,15269.80
2022-10-15,775249.79,0.00,11435.70,,12979.19
2022-10-16,797220.08,0.00,12125.60,,4456.45
2022-10-17,830481.07,0.00,12409.92,,1310.48
2022-10-18,954021.78,0.00,17731.48,,25986.79
2022-10-19,876305.73,0.00,12223.14,,1802.31
2022-10-20,1001457.01,1218.02,12682.27,,4575.67
2022-10-21,908281.07,0.00,0.00,,17168.44
2022-10-22,913076.66,0.00,16788.48,,1801.33
2022-10-23,847783.77,0.00,18883.53,,5043.71
2022-10-24,847702.14,0.00,18214.10,,1743.00
2022-10-25,919322.51,0.00,14108.28,,22782.95
2022-10-26,1196138.09,0.00,17035.75,,5372.56
2022-10-27,1101917.20,2619.02,14029.43,,2040.76
2022-10-28,1067368.89,0.00,17096.91,,18394.77
2022-10-29,1104291.11,0.00,15813.52,,4822.83
2022-10-30,1088270.42,0.00,16940.02,,2005.01
2022-10-31,1014558.49,0.00,20058.13,,2252.59
2022-11-01,1089401.55,0.00,14804.17,,22132.31
2022-11-02,1040632.90,0.00,15414.95,,2505.42
2022-11-03,1152025.27,2638.49,14937.66,,2834.63
2022-11-04,1328731.47,0.00,15382.73,,27599.73
2022-11-05,1122063.44,0.00,13378.55,,3062.96
2022-11-06,944650.35,0.00,13493.13,,2987.56
2022-11-07,1015317.78,0.00,17003.15,,2200.04
2022-11-08,1022928.25,0.00,16817.66,,25895.84
2022-11-09,6209.66,0.00,28206.12,,1604.16
2022-11-10,2320616.27,4908.53,73829.88,,2344.63
2022-11-11,7617.76,0.00,23639.30,,20758.29
2022-11-12,2239800.82,0.00,15616.81,,1737.66
2022-11-13,1602701.21,0.00,10289.02,,1512.27
2022-11-14,1634706.12,0.00,14797.06,,1705.62
2022-11-15,1645966.20,0.00,16247.30,,22340.88
2022-11-16,1532177.81,0.00,10708.30,,1399.92
2022-11-17,857496.33,6345.75,10881.30,,1726.75
2022-11-18,828025.50,0.00,11265.74,,15921.40
2022-11-19,759584.88,0.00,10142.99,,1136.74
2022-11-20,793164.14,0.00,10326.20,,1021.73
2022-11-21,771305.26,0.00,11459.91,,941.99
2022-11-22,808785.41,0.00,12282.66,,19751.86
2022-11-23,984071.30,0.00,12575.56,,1002.45
2022-11-24,761310.09,15009.48,18414.28,,1065.21
2022-11-25,759220.28,0.00,10618.63,,14868.47
2022-11-26,1206307.03,0.00,12104.25,,929.43
2022-11-27,701113.69,0.00,10493.95,,820.04
2022-11-28,773653.51,0.00,9782.94,,723.42
2022-11-29,769370.62,0.00,10280.40,,18330.47
2022-11-30,806715.40,0.00,12565.68,,0.00
2022-12-01,802797.82,17700.70,11420.88,,2354.67
2022-12-02,868858.55,0.00,14961.23,,16104.43
2022-12-03,746764.73,0.00,9556.29,,1101.70
2022-12-04,770807.44,0.00,10565.26,,1467.73
2022-12-05,739787.86,0.00,11716.72,,1098.17
2022-12-06,759264.96,0.00,10886.41,,20239.13
2022-12-07,766965.32,0.00,19761.23,,1093.79
2022-12-08,851060.14,26042.15,11403.34,,925.26
2022-12-09,793370.61,0.00,0.00,,15148.90
2022-12-10,752343.31,0.00,11853.56,,389.11
2022-12-11,701625.84,0.00,11093.18,,359.26
2022-12-12,795562.65,0.00,10454.29,,281.94
2022-12-13,833204.26,0.00,11694.93,,20059.02
2022-12-14,849866.94,0.00,14418.18,,305.77
