Date,Aave ($),Compound ($),BENQI ($),Venus ($),Radiant Capital ($),TrueFi ($),Maple Finance ($),Notional Finance ($),Goldfinch ($),BendDAO ($),Euler ($),Sonne Finance ($),Silo Finance ($),Morpho ($),Shoebill Finance ($)
2023-05-12,9657.29,29596.50,18298.43,3005.74,186160.23,0.00,0.00,35856.01,177.92,7341.63,0.00,6940.48,2022.11,0.00,
2023-05-13,1845.02,34912.34,2237.04,4274.07,142821.26,12671.36,0.00,3694.39,6255.01,9698.90,0.00,4153.33,1490.94,0.00,
2023-05-14,3544.60,4383.57,3546.50,2368.01,267223.02,3806.63,0.00,2745.75,2406.40,12200.03,0.00,15750.08,646.13,0.00,
2023-05-15,4224.53,12944.36,5674.00,5633.43,206213.56,5524.97,0.00,2004.45,1261.79,4712.43,0.00,7519.41,1270.18,0.00,
2023-05-16,3443.58,20350.56,60949.46,3990.23,204290.71,6241.26,0.00,5952.80,436.30,11712.74,0.00,4436.22,2079.99,0.00,
2023-05-17,7528.76,94938.32,8084.54,3239.42,180971.57,7607.04,0.00,3953.98,1495.80,9778.79,0.00,6442.57,3113.18,0.00,
2023-05-18,4068.94,53620.79,3511.29,3301.61,167684.39,7825.20,0.00,577.35,2970.37,15817.42,0.00,5011.68,1638.11,0.00,
2023-05-19,3240.71,6467.36,4267.82,3602.27,196367.52,1561.42,0.00,0.00,2833.29,10023.58,0.00,5892.92,250.13,0.00,
2023-05-20,3424.02,74282.95,3440.28,4288.21,140396.24,7960.52,0.00,1.37,25058.27,5365.05,0.00,3055.50,1803.75,0.00,
2023-05-21,1371.85,14898.80,3701.26,3702.98,283810.40,8271.28,0.00,10482.77,7445.36,6076.09,0.00,13951.85,5639.46,0.00,
2023-05-22,4719.41,30057.62,8021.46,4256.81,153471.15,4913.57,0.00,3711.33,184.62,16139.78,0.00,5358.82,1244.30,0.00,
2023-05-23,37556.41,84868.02,3842.53,8356.54,226455.11,0.00,0.00,10279.82,14442.18,6054.46,0.00,5428.88,183.45,0.00,
2023-05-24,6895.17,16857.47,24877.97,4083.50,227871.36,0.00,0.00,5000.73,1095.86,2583.41,0.00,5289.23,773.45,0.00,
2023-05-25,2089.27,78995.36,6139.83,2177.48,179865.60,0.00,0.00,9556.69,1094.42,8878.11,0.00,3732.23,665.02,0.00,
2023-05-26,2438.98,6338.24,3238.76,1848.91,163466.42,0.00,0.00,1793.38,1250.69,16212.42,0.00,4266.47,14171.46,0.00,
2023-05-27,6401.61,84325.41,10126.15,5993.64,222974.15,0.00,0.00,296.09,1796.18,9270.13,0.00,2460.34,2366.19,0.00,
2023-05-28,6730.07,11251.49,3562.93,3490.81,192171.74,0.00,0.00,1008.15,1034.16,10252.81,0.00,6164.14,2461.70,0.00,
2023-05-29,3712.22,38487.65,5073.73,7450.48,301219.69,0.00,0.00,7242.81,461.15,1342.25,0.00,7211.62,580.93,0.00,
2023-05-30,2866.15,20050.85,3783.06,2220.43,207241.43,0.00,0.00,2143.54,971.00,7105.44,0.00,2770.17,595.04,0.00,
2023-05-31,12043.62,21275.41,6240.12,4920.27,174955.98,0.00,0.00,15945.82,2159.96,3537.82,0.00,5991.15,3263.74,0.00,
2023-06-01,59649.07,43687.29,5350.44,3646.07,290961.27,0.00,0.00,511.72,2045.57,8895.96,47.06,6859.38,461.45,0.00,
2023-06-02,7784.64,15069.97,4082.57,6912.13,222973.41,0.00,0.00,1059.23,3929.44,11568.55,0.00,3839.66,894.00,0.00,
2023-06-03,3847.06,40945.83,2760.65,2440.08,181009.89,0.00,0.00,2711.37,359.27,15462.99,0.00,5709.47,1349.62,0.00,
2023-06-04,1957.88,10016.87,3552.99,3343.42,144908.34,0.00,0.00,323.51,253.11,3833.70,0.00,4718.49,626.28,0.00,
2023-06-05,7833.99,19908.44,6573.68,9612.72,286490.86,0.00,0.00,211.02,199.01,4059.44,0.00,8374.42,743.74,0.00,
2023-06-06,5445.58,48821.05,17438.17,2701.62,176274.12,0.00,0.00,23949.36,1216.46,8961.61,0.00,3305.98,1420.39,0.00,
2023-06-07,806.75,8521.94,5420.92,4163.87,164962.23,0.00,0.00,7972.18,12039.89,15588.88,0.00,9086.71,434.60,0.00,
2023-06-08,604.81,54882.68,2971.73,5170.26,187981.05,0.00,0.00,66.30,7159.94,846.35,0.00,5813.18,400.49,0.00,
2023-06-09,2943.54,24128.13,1845.54,11884.53,197146.90,0.00,0.00,13918.97,1488.78,15201.50,0.00,4075.87,259.50,0.00,
2023-06-10,6273.71,71854.93,16076.46,6153.60,195341.33,0.00,0.00,0.00,557.75,14521.80,0.00,5540.03,2588.28,0.00,
2023-06-11,1737.24,17496.30,2534.60,1917.78,140981.07,0.00,0.00,797.37,1410.83,5150.55,0.00,6128.50,4243.58,0.00,
2023-06-12,2365.17,21222.83,3089.75,5035.37,169653.49,0.00,0.00,853.49,3324.38,6728.03,0.00,4910.94,585.25,0.00,
2023-06-13,1118.72,10578.99,12432.01,4059.97,223873.96,0.00,0.00,725.98,1625.83,3962.83,0.00,4077.98,247.89,0.00,
2023-06-14,2963.96,42670.08,4742.29,3923.10,175724.19,0.00,0.00,15.55,237.78,7390.24,0.00,5698.45,422.82,0.00,
2023-06-15,3507.71,29643.49,4362.96,6521.25,128419.30,0.00,0.00,10575.78,1555.01,6440.41,0.00,7243.24,715.03,0.00,
2023-06-16,1586.31,11583.66,5619.91,4521.13,149140.41,0.00,0.00,4794.13,248.49,9811.36,0.00,4646.87,346.49,0.00,
2023-06-17,955.36,14261.99,2861.45,5140.93,132476.30,0.00,0.00,1805.17,1934.51,5856.64,0.00,3878.46,828.89,0.00,
2023-06-18,5980.74,12224.77,2879.16,2546.20,125952.13,0.00,0.00,55057.93,3916.28,7037.23,0.00,3787.04,1070.24,0.00,
2023-06-19,1402.00,25433.01,21085.74,1999.04,185613.90,0.00,0.00,7272.86,126.69,21553.19,0.00,6332.28,277.47,0.00,
2023-06-20,3258.98,15293.20,3663.50,5420.47,185644.35,0.00,0.00,4064.25,1589.98,11854.74,0.00,6308.61,806.42,0.00,
2023-06-21,3526.15,27208.88,5477.23,5707.27,201291.42,0.00,0.00,36904.56,864.58,22993.94,0.00,16484.85,522.80,0.00,
2023-06-22,4501.66,27036.91,3198.29,4858.40,161514.74,0.00,0.00,6083.18,925.38,27654.42,57.86,6842.39,388.13,0.00,
2023-06-23,2425.80,38618.51,9283.96,6967.13,174265.87,0.00,0.00,2811.40,140.89,17524.58,0.00,5949.53,201.65,0.00,
2023-06-24,1336.29,12084.87,1787.97,4515.18,141243.08,0.00,0.00,414.56,2963.07,8904.20,0.00,4814.52,211.82,0.00,
2023-06-25,4585.89,20009.30,6147.93,2825.65,169511.40,0.00,0.00,944.53,189.78,3981.78,0.00,5274.16,631.05,0.00,
2023-06-26,1700.53,39025.34,4842.27,3534.03,222457.05,0.00,0.00,22184.90,13496.01,8260.62,0.00,4611.17,1348.66,0.00,
2023-06-27,1027.06,100118.09,2219.61,2828.58,174808.67,0.00,0.00,190.46,5660.54,14838.66,0.00,10079.68,834.91,0.00,
2023-06-28,841.45,38739.44,2263.65,4736.69,162001.26,0.00,0.00,4648.93,298.38,9463.32,0.00,8256.48,2812.74,0.00,
2023-06-29,9304.13,647671.59,6783.47,2573.93,171066.63,0.00,0.00,824.57,1705.79,3984.84,0.00,5476.05,441.48,0.00,
2023-06-30,4114.88,576845.78,4477.72,7696.13,156793.85,0.00,0.00,4626.75,673.22,17063.88,0.00,7516.85,370.48,0.00,
2023-07-01,10392.59,29127.74,13875.47,6125.06,182094.29,0.00,0.00,0.00,2164.05,40193.64,0.00,7808.76,277.64,0.00,
2023-07-02,4921.30,124848.90,1972.36,2541.45,238506.48,0.00,0.00,1677.76,1785.53,25062.58,0.00,7185.69,383.78,0.00,
2023-07-03,9381.97,50586.73,6324.79,6022.19,183957.53,0.00,0.00,19416.53,389.72,16528.33,0.00,9749.19,1056.88,0.00,
2023-07-04,2674.47,21673.58,18445.48,2564.40,185511.83,0.00,0.00,7122.42,689.43,8070.44,0.00,7977.36,462.93,0.00,
2023-07-05,3115.50,20060.37,3030.24,1672.93,128117.40,0.00,0.00,234.45,4761.31,922.09,0.00,10151.28,289.32,0.00,
2023-07-06,3209.37,80787.41,2137.95,5746.99,146195.17,0.00,0.00,141.88,1134.61,6332.17,0.00,6399.30,1023.15,0.00,
2023-07-07,1691.80,18064.84,3351.87,2654.67,182839.47,0.00,0.00,0.00,158.59,2785.57,0.00,5892.02,1252.46,0.00,
2023-07-08,3998.92,62493.29,9959.62,1862.74,170233.52,0.00,0.00,1153.79,976.47,10417.24,0.00,9441.08,579.91,0.00,
2023-07-09,3253.79,26261.12,12947.23,3141.28,132333.75,0.00,0.00,1158.53,1804.46,2420.82,0.00,6939.04,177.54,0.00,
