Date,Aave ($),Compound ($),Venus ($),BENQI ($),Morpho ($),Spark Protocol ($),TrueFi ($),Radiant Capital ($),Goldfinch ($),Euler ($),Fraxlend ($),Sonne Finance ($),Maple Finance ($),Gearbox ($),Silo Finance ($),BendDAO ($),Shoebill Finance ($)
2022-04-01,8126149279.27,3512719024.88,904774949.48,1128891098.43,,,350248585.71,,82574803.13,250265341.85,,,,1139317.65,,2516640.41,
2022-04-02,8159718622.08,3493449166.28,908144741.82,1130470150.97,,,350233177.44,,82570207.36,257974980.28,,,,1140897.49,,2951956.37,
2022-04-03,8220092324.21,3505014301.70,918806894.90,1145528392.90,,,338216123.34,,82569124.89,288225719.38,,,,1119126.12,,3598774.52,
2022-04-04,8210425656.69,3509937355.86,920808968.83,1151585698.57,,,342110019.11,,82270665.52,311968629.96,,,,1094979.95,,3746282.71,
2022-04-05,8193807428.20,3522265390.86,915177670.32,1127930774.28,,,290650559.78,,82269591.92,298388207.04,,,,1052386.69,,4041035.81,
2022-04-06,8156378761.73,3517707635.92,880619351.13,1061767902.38,,,290643671.56,,82270333.98,292276228.45,,,,1042730.50,,4361499.92,
2022-04-07,8227526369.93,3450073454.95,878038298.92,1019399005.84,,,318799319.08,,82272263.18,289602466.12,,,,1037040.76,,4954150.68,
2022-04-08,8258468747.59,3244652153.39,858411205.24,842414994.20,,,318784790.76,,82265630.68,344114431.72,,,,1049218.27,,5087411.83,
2022-04-09,8358096070.53,3239438384.00,859346243.24,770709693.22,,,318835576.63,,82271664.26,335191016.78,,,,1025393.23,,5337117.70,
2022-04-10,8363447596.88,3220004364.81,845086467.86,757716870.89,,,318789106.38,,82268174.43,338504275.50,,,,1016895.41,,5351375.57,
2022-04-11,8272833777.34,3202635583.21,805303827.67,697794081.17,,,318795358.48,,82268086.39,335069893.28,,,,1000341.71,,5196195.10,
2022-04-12,8331663462.21,3178763766.19,821347042.68,665417448.04,,,312872948.45,,92268598.92,347945803.92,,,,1005057.57,,5264942.08,
2022-04-13,8420338545.89,3178567282.61,837585580.87,663099619.58,,,312884539.98,,92268598.92,366803563.43,,,,1096114.09,,5927482.85,
2022-04-14,8424744368.54,3189783938.63,816171397.59,707187511.81,,,312864077.18,,92224005.50,341692817.16,,,,1131557.72,,6121028.25,
2022-04-15,8434655474.47,3201530676.84,818397097.63,767129394.81,,,312861690.70,,92218654.88,338761379.58,,,,1178186.21,,6331368.70,
2022-04-16,8370657429.10,3209001986.64,821698786.07,773365413.26,,,312872080.93,,92223199.49,338858426.37,,,,1177163.17,,6502745.19,
2022-04-17,8351673569.92,3204645344.32,812816154.98,780119728.14,,,312850957.13,,92213197.28,306879484.57,,,,1318696.77,,6406792.97,
2022-04-18,8404053194.44,3207258603.44,814203875.67,795463327.93,,,413941100.75,,92206316.72,325421190.11,,,,2384829.66,,7140935.73,
2022-04-19,8510164936.66,3195026419.54,840390801.43,787405058.16,,,421183349.06,,92201892.91,322211778.18,,,,2476138.52,,7816214.19,
2022-04-20,8799834358.38,3195133900.38,845238487.50,718492487.81,,,421192562.68,,92202573.49,314059800.78,,,,2487496.62,,8768669.97,
2022-04-21,9638384915.17,3189548963.10,827652358.01,689061865.02,,,409024248.28,,92215397.65,313668644.88,,,,2465291.97,,9903580.14,
2022-04-22,9859477634.13,3135267622.75,824479565.17,687336002.31,,,409005777.25,,92220336.97,308632533.24,,,,2471134.18,,10906670.33,
2022-04-23,9830281953.24,3133540287.08,821571480.57,683278181.31,,,409044964.07,,92221889.04,301675170.63,,,,2548702.95,,12479141.17,
2022-04-24,9769809675.88,3129205980.09,819748449.81,666628428.88,,,282005404.94,,92232321.93,284042837.09,,,,2640843.87,,16845872.03,
2022-04-25,9793770054.00,3139207023.39,825324377.42,625174526.46,,,281983413.53,,92224306.13,276171594.90,,,,2600485.37,,26457508.60,
2022-04-26,9893542946.70,3116633056.15,802792095.99,599520799.39,,,287478938.13,,102220336.96,260724727.16,,,,2629076.72,,29787580.15,
2022-04-27,9937529315.27,3095632207.30,803530587.13,603034353.97,,,287474733.70,,102220336.96,264405402.00,,,,2640879.19,,31273078.30,
2022-04-28,9955728851.70,2651875362.64,817175039.75,561030274.80,,,285764382.15,,102211957.96,262960065.28,,,,2645979.21,,34110368.43,
2022-04-29,9829253906.37,2430233246.43,898352037.59,568918108.23,,,285778025.40,,102220453.49,254701030.78,,,,2634260.07,,35100215.42,
2022-04-30,9710268226.31,2430646308.95,887255014.80,540345183.26,,,285983485.82,,102227784.73,247861853.42,,,,2594372.55,,38366020.47,
2022-05-01,9721483181.04,2417697017.40,889156406.02,524416258.35,,,283782225.72,,102228673.03,233216848.81,,,,2605694.31,,45462947.47,
2022-05-02,9832546417.02,2397604483.22,872427597.56,508620983.46,,,366099165.31,,102220336.95,228788365.02,,,,2618553.28,,50587565.32,
2022-05-03,9072530159.85,2391628509.46,859023660.89,496340019.42,,,367094150.96,,102219962.98,225312525.41,,,,2618722.45,,50287717.43,
2022-05-04,8991504964.56,2376139287.74,884270017.71,481429013.52,,,364325798.98,,102219761.60,225352032.63,,,,2674642.63,,52966285.01,
2022-05-05,8811730770.49,2091848564.33,798891911.58,420089745.54,,,396519879.79,,102224520.95,218142495.10,,,,2664429.64,,51385377.08,
2022-05-06,8760999356.14,1918978770.03,763737191.99,405662110.13,,,382268235.98,,102243707.60,204566181.85,,,,3244625.40,,52086187.48,
2022-05-07,8723509867.06,1924201569.93,743902772.34,377415630.96,,,385615032.58,,102225839.59,185021922.18,,,,3643606.73,,51799643.89,
2022-05-08,8523769067.74,1900873380.16,705126765.40,357409524.47,,,420687826.94,,102229843.54,198268933.78,,,,3959040.82,,50256946.68,
2022-05-09,7208686134.32,1800017976.48,618600330.76,315177371.06,,,420741900.58,,102257599.27,163554237.11,,,,4257665.90,,44154418.09,
2022-05-10,6779513789.27,1748785852.79,585672686.04,293705764.84,,,420731771.27,,102249367.51,172519737.50,,,,4843668.90,,45036194.18,
2022-05-11,6462506270.83,1702791097.21,509213023.49,184905028.07,,,407791434.95,,102375691.70,176751115.01,,,,4098564.54,,38874200.13,
2022-05-12,5613731129.40,1582456413.19,447580531.77,143644803.85,,,408478766.33,,102393587.32,152858113.56,,,,3787445.58,,36084759.50,
2022-05-13,4974967726.86,1499670465.49,471999759.41,100213855.27,,,408211861.80,,102317983.53,147889422.47,,,,3746538.26,,35988395.29,
2022-05-14,4971495998.48,1497791606.49,478207597.81,113983470.68,,,408150145.71,,102271664.69,157948641.36,,,,3786886.55,,36682441.65,
2022-05-15,4998040337.20,1492867365.28,465948468.34,120375783.11,,,407269985.41,,102320446.00,168374716.30,,,,3966294.00,,38764958.15,
2022-05-16,5001046493.00,1479540686.09,414802915.69,113282422.59,,,452667347.81,,102362023.89,171569066.30,,,,4065992.41,,37277064.22,
2022-05-17,5000382637.25,1483180526.27,417040467.38,120469003.92,,,432540154.06,,102281332.63,211903697.17,,,,4234408.89,,39064724.71,
2022-05-18,4831944303.88,1473772006.72,398288874.11,123593513.61,,,430375674.57,,102246369.38,208556908.00,,,,4163592.92,,35917624.73,
2022-05-19,4876343479.20,1450509352.39,417091404.97,124129235.94,,,428520041.23,,102279444.63,203228940.48,,,,4151482.08,,37768942.94,
2022-05-20,4854461043.15,1444499256.30,411793031.20,116034208.66,,,428732616.85,,102238804.09,188703633.79,,,,4120180.57,,36914311.42,
2022-05-21,4824860817.52,1400388135.60,419923763.86,125043314.01,,,428786630.62,,102252687.58,189810330.22,,,,4122254.01,,37497192.49,
2022-05-22,4837224817.01,1375673989.68,426796413.08,129351381.71,,,428711862.24,,102224703.08,209012104.99,,,,4095727.72,,39143005.18,
