Date,dYdX ($),Synthetix ($),GMX ($),Level Finance ($),Vertex ($),Lyra ($),ApolloX ($),Pendle ($),HMX ($),Perpetual Protocol ($),Kwenta ($),Mummy Finance ($),IPOR Protocol ($),Premia ($),Thales ($),Metavault.Trade ($),MUX ($),Pika Protocol ($),Holdstation ($),Buffer Finance ($)
4/22/2022,1212821.5,188748.33,12773.16,,,10833.71,66945.33,,,679.4,,,,3713.76,2459.3,,0,,,
4/23/2022,305571.27,40613.53,14225.48,,,15349.32,1361.49,,,230.19,,,,7953.16,217.8,,0,,,
4/24/2022,203518.81,49271.84,61546.35,,,7226.14,17165.94,,,1730.81,,,,9930.33,175.31,,0,,,
4/25/2022,226287.11,1702773.79,26754.42,,,2801.44,29007.22,,,94969.53,,,,1079.77,1271.37,,0,,,
4/26/2022,2947417.84,69798.96,43998.72,,,14644.32,49684.09,,,2519.78,,,,4005.66,7213.88,,1,,,
4/27/2022,342874.47,3975074.66,21617.27,,,2743.28,17645.95,,,96.92,,,,846.61,3967.7,,0,,,
4/28/2022,904639.66,932684,11224.25,,,18144.43,3545.07,,,1938.46,,,,6340.5,2005.35,,4.93,,,
4/29/2022,139126.9,176729.66,8245.08,,,48446.01,10385.54,,,173571.71,,,,1655.74,1967.67,,4.05,,,
4/30/2022,863046.91,14092.61,10486.41,,,7441.74,5073.74,,,5179.03,,,,16532.84,833.98,,0,,,
5/1/2022,24155.58,16204.57,144665.68,,,9437.31,7190.81,,,0,,,,3955.45,128.35,,0,,,
5/2/2022,2189430.13,1265565.97,14346.51,,,219951.37,83862.75,,,37760.67,,,,6506.44,343.88,,0,,,
5/3/2022,56054.05,567004.68,32905.58,,,99134.1,8569.02,,,213.32,,,,4265.87,3876.88,,0,,,
5/4/2022,45708.22,3477520.33,24392.26,,,61612.13,3050.37,,,161849.78,,,,3912.71,7882.68,,0,,,
5/5/2022,26374.89,4235698.3,36110.42,,,24908.18,206094.66,,,2062.27,,,,1444.02,466.92,,0,,,
